"serial_no","colour reading","mono reading"
"E338M421628",0,0
"338M420087",0,500221
"C718R513573",173501,90900
"C768R721035",157690,115083
"C768R821778",217164,112910
"G077PC00609",6579,60479
"S7223800749",30278,35248
"W3029404686",0,0
"VWY8300510",0,63799
"VWY8400524",0,100630
"VWY8100429",0,34832
"VWY8300514",0,93438
"V5230200016",0,4150131
"C398P700909",0,408927
"E203RC61238",60381,127838
"42344669",0,0
"W918P701454",0,53297
"E338M521013",0,0
"VWY8300486",0,23718
"E338M120211",0,42449
"E338M720208",0,109799
"41953180",0,723650
"VWY8300497",0,103312
"S7224000346",71947,211156
"W3079500374",0,219372
"E338M220026",0,111768
"W3026402195",0,19945
"W912P505258",0,136479
"AK76027198",31008,101964
"C768R821069",88431,19748
"VWY8300490",0,26759
"VWT8300261",8082,28329
"G656JC00051",0,518476
"G176R450022",0,348437
"C398P900131",0,78773
"E763KB00013",0,198489
"VWX7701233",0,48097
"VWU8100344",0,19717
"W3029504287",0,106138
"A5C1021020837",100313,425372
"W3028602635",0,226153
"W3019509848",0,338581
"W3028602636",0,144629
"W3088900251",0,227533
"W3088900196",0,146801
"A5C4021132257",91775,665127
"A7R0321004507",12032,49163
"A161321000200",376851,404981
"A5C1021015894",48198,390998
"C508P603380",5970,32906
"A161021012560",0,0
"S7213900299",0,0
"S7434700030",0,0
"M0179107501",0,0
"VWY8900766",0,91820
"VWY8900814",0,193543
"C508P603428",6343,56777
"AK76027145",0,0
"W3079400358",0,269666
"S7214100791",0,0
"W917PC00784",0,0
"VWS8701252",0,0
"C398P601902",0,0
"W3079400402",0,186295
"w3079400378",0,195689
"W3058800363",0,166591
"VWX8803026",0,91688
"E338M920091",0,287972
"W3079400372",0,104974
"C508P603474",28581,172034
"C768R920388",73268,40096
"W912PA00157",0,382307
"W3019513041",0,277367
"V5210500083",0,4520596
"E214J800090",0,0
"C768RA20014",78779,32735
"W3068502112",0,175308
"VX28501497",0,63274
"W918P800835",0,119131
"VWV7400368",0,40308
"W3079400356",0,57664
"VWT8400351",4716,59053
"W3079400306",0,184545
"C768RA21401",41586,58123
"V5110600017",0,5519017
"G657J600030",0,0
"C718R513153",306200,311461
"VWT8400352",2317,5897
"W3079400354",0,13761
"VWY8900801",0,5232
"VWY8300509",0,148241
"V4408503822",0,0
"VWX8803030",0,347375
"W3028715908",0,93545
"VWX7701224",0,0
"AK7B023748",3249,26966
"W3049301287",0,132188
"VR47702080",0,278605
"VWT8400314",2954,10876
"W3048905196",0,211633
"42346275",0,1247461
"R6G8701013",0,204927
"VWS8601105",29303,19333
"G175J300217",0,197561
"VWY8300515",0,54040
"AK57049028",0,0
"G476M230677",2351,19453
"R5R7Y00508",39990,16863
"S7224500487",0,0
"W3009605978",0,116562
"G476M730684",29466,65393
"G185J875231",0,492860
"LXZ7300109",0,0
"C718R513565",24132,355893
"W3048905029",0,75981
"G175R550492",0,372633
"G165P900042",0,192429
"AK81028085",0,74606
"AK82022796",0,61549
"R5R7Y00501",40359,66737
"E338MC20598",0,67723
"R5R7Y00503",9380,67728
"W3079400355",0,193893
"VWY8500567",0,126197
"S7534400008",110650,255311
"W3009605919",0,243204
"V5120100099",0,836398
"R5R8X01310",114014,99204
"VWY8900810",0,50837
"W3059401049",0,78514
"NVN3506559",0,143336
"W3079200709",0,249842
"W914PB00591",0,191103
"S7214401865",106147,232669
"V4409218132",0,345558
"W3079400349",0,86688
"VX27500524",0,0
"VWY8300511",0,15379
"G155P701526",0,942435
"W3079400348",0,75611
"W3039302704",0,106252
"W3039301432",0,63892
"E338MC20641",0,217181
"VWX8803028",0,44584
"QVCO911299",0,175138
"W914P204475",0,255023
"W3079200627",0,285387
"W913P903621",0,0
"W3079400350",0,155062
"S7214401078",18196,34783
"G174R950275",0,658803
"R5R8Y01333",72566,48288
"R5R7Y00516",21611,10037
"G175R150139",0,275050
"C768R522940",75043,75473
"VTV6X00602",0,211302
"VWT8400356",22338,5174
"G175R550518",0,519567
"3109R111100",52554,152063
"RJR9100085",0,330369
"VWV8902018",0,3152
"VWV8902028",0,70803
"VWV8902043",0,12668
"VWV8902021",0,6877
"VWX8803023",0,41948
"VWY8600636",0,117611
"42311224",0,769687
"W3059602186",0,235931
"W3058604327",0,95058
"L9084001306",112903,945851
"G165JA00157",0,548956
"E763KB00192",0,306649
"VWY8600656",0,131515
"W3009605929",0,0
"V9314504417",266097,602288
"W918P900849",0,52409
"W918P900894",0,213304
"W918P900848",0,140850
"W3068901583",0,245602
"W3068901581",0,77641
"VWS8200748",5679,3279
"E338MC20658",0,167289
"E338MC20642",0,389171
"W3079400352",0,94433
"RJT8500014",0,102153
"VWS9301720",10490,10287
"R6G9401463",0,14586
"VWY8600653",0,62565
"R5R9501374",27259,200362
"VWY8600627",0,56003
"RJR9100081",0,203889
"VWX8903779",0,24153
"W3029500982",0,0
"W918P901474",0,125069
"S7334500099",48398,118004
"VWY8500602",0,94107
"VWT8400355",5247,27866
"G175J200380",0,120235
"C399P401191",0,171992
"W918P901471",0,168411
"W918P900752",0,27788
"V4408902819",0,222886
"S7334500083",15709,33015
"S7234700094",0,0
"W3019508730",0,157162
"3379P501052",0,255475
"3129M250863",65411,220268
"VWY8500572",0,0
"3089R511121",9509,132426
"VWY8500571",0,74509
"E214K200136",7623,8459
"W914P500956",0,304976
"C768RA20654",78002,25599
"E335M121976",0,448444
"C508P603463",31293,140524
"3379P100925",0,81789
"G073PC00221",34931,188575
"W3039001909",0,86343
"VWV7200238",0,159614
"E323M920917",0,134803
"3299M420452",0,0
"VX27Y00959",0,0
"VWV8902106",0,68493
"VWT9500520",35133,32089
"VSK7800457",0,184824
"VX17X00317",0,28550
"44140362",0,685900
"VWY8600651",0,65278
"C767RC21602",12680,3443
"3089R510863",9021,76259
"VWT8200246",2775,36798
"VWY8500578",0,29869
"G174RC50012",0,527665
"3129M410584",34144,54359
"w492k604882",0,0
"C508P702986",1101,4124
"G075P800545",3105,60110
"VWT9500528",1768,51197
"G075PD99467",3598,26311
"G667JC00069",0,1132445
"3379P701090",0,86225
"W3058604006",0,76915
"3379P701297",0,39122
"3379P701051",0,203430
"3379P701095",0,267447
"3089R910594",27112,167585
"VWY8500564",0,81169
"VWY8500570",0,26128
"G076PC00433",2015,6700
"3379P701296",0,79630
"VWY8500565",0,23912
"G174RC50333",0,233059
"V5221000038",0,0
"VWY8500575",0,52144
"3109R110948",5722,624600
"E184J300158",31563,638270
"3109R110980",61409,452469
"W914P500951",0,17011
"W913P805341",0,56178
"W913P103939",0,0
"W914PB00807",0,21063
"W914P303802",0,0
"W913P805336",0,0
"G0179601430",0,94712
"E205R860636",54121,55803
"VYH7500172",0,176236
"V5030400168",0,1121083
"3379P701284",0,57557
"3109R111486",64030,358621
"G174Rb50337",0,0
"3129M250924",175952,257793
"3139M120378",122100,178375
"G476M430396",40870,187929
"3138MC00024",38658,77596
"W912P504160",0,75021
"W913P805344",0,24689
"G659C470031",0,1567396
"3378PC01263",0,156730
"G479M430440",25362,20269
"3378PC01220",0,88798
"3379P701094",0,56400
"W3028715905",0,40067
"E174J100247",85665,202212
"3389P701120",0,50764
"3299M520104",0,361246
"G075PA00449",8176,33707
"G176R650090",0,257734
"VSK7600414",0,227887
"E363MC20057",0,96740
"E363M920419",0,231391
"W3019001030",0,150811
"V4408703510",0,0
